Thermoleophilia,16,14,29,10,22,22,22,23,10,14,16,12,27,2,32,12,21,25,3,9,30,29,30,10,16,18,14,14,20,11,21,29,9,9,33,10,73,27,27,14,15,11,10,14,8,4,6,21,12,12,10,4,10,14,23
Opitutae,12,14,14,32,13,18,11,28,18,14,13,17,23,1,19,22,17,8,4,21,18,9,21,22,14,10,10,27,10,14,16,17,18,9,9,19,31,22,27,14,13,10,6,21,11,6,16,10,16,9,5,2,13,9,22
Synergistia,12,12,12,12,21,18,24,17,14,13,24,14,13,4,22,12,17,10,1,17,20,14,19,17,15,15,14,15,15,13,16,15,20,11,20,11,44,19,25,9,13,15,10,13,8,8,13,7,10,13,10,11,17,15,9
Synechococcophycideae,10,5,14,14,8,12,15,15,22,11,17,10,20,0,19,13,14,4,0,10,10,10,18,16,16,10,11,15,7,3,19,16,13,8,14,12,35,16,20,9,5,6,4,11,14,3,8,12,7,5,4,1,19,9,11
Thermotogae,8,6,8,14,12,8,8,15,11,4,14,10,15,3,10,12,15,11,0,5,12,21,20,8,15,8,5,14,3,9,9,6,11,5,12,8,20,6,15,12,3,9,11,9,10,6,16,5,9,6,8,2,8,3,11
Caldithrixae,4,8,11,11,12,6,13,18,6,9,9,10,7,2,22,5,7,3,1,5,7,9,14,11,9,8,5,12,4,4,4,12,4,4,10,17,29,8,20,6,8,4,5,5,3,2,2,7,10,3,3,3,7,5,8
Brocadiae,6,5,4,10,4,9,5,10,7,10,11,11,3,0,12,4,4,4,3,9,13,11,11,6,7,5,3,5,5,4,7,11,4,4,5,9,13,8,14,6,2,7,5,7,6,3,11,7,5,3,2,4,3,4,6
Nitrospira,4,3,5,17,0,6,6,3,9,8,6,6,5,0,3,3,3,2,0,11,3,13,21,5,11,2,4,4,4,2,6,4,3,4,11,7,17,5,8,1,1,3,4,2,7,2,4,8,6,2,2,4,6,1,6
Group II,3,7,2,12,4,3,2,6,5,5,11,4,12,1,7,3,1,6,0,4,4,3,10,0,3,1,4,9,3,2,4,9,4,6,14,8,14,10,10,3,2,6,12,2,4,1,4,4,1,1,4,3,7,8,9
Acidimicrobiia,6,4,6,9,2,2,6,8,2,6,3,6,5,1,9,5,2,1,1,5,3,3,9,3,6,2,0,4,5,3,5,4,5,1,6,5,17,4,8,3,7,0,2,6,3,1,2,6,4,1,1,2,5,3,5
Spirochaetes,8,7,6,4,4,3,7,4,4,1,5,9,7,1,5,3,4,3,2,2,7,4,2,4,4,4,2,5,6,1,0,2,6,0,4,8,9,5,4,2,1,3,4,4,3,0,4,3,3,3,0,3,6,1,3
Leptospirae,3,5,3,3,2,3,5,4,2,9,0,3,3,0,7,4,2,1,0,1,5,3,5,3,3,4,1,4,3,4,1,6,8,5,6,4,14,3,6,3,2,2,1,1,1,1,1,1,3,3,2,3,3,2,2
Acidobacteria,5,2,5,3,1,4,3,2,3,3,5,6,2,0,2,2,1,5,0,3,2,1,2,2,2,0,1,2,4,4,2,0,1,6,4,2,2,0,2,2,2,1,3,3,2,3,6,1,1,0,4,2,1,2,0
Methylacidiphilae,1,0,3,5,1,7,1,2,4,1,2,4,1,0,3,1,2,1,0,2,1,4,2,1,4,0,0,1,1,0,1,3,3,0,5,5,5,1,3,0,2,5,1,1,4,2,1,1,0,1,1,1,1,0,0
Anaerolineae,1,1,2,4,0,2,0,5,1,0,2,1,2,0,1,1,2,1,0,2,1,3,2,2,2,1,0,2,1,2,2,2,4,0,1,1,3,3,0,1,1,0,0,4,2,0,0,1,1,0,0,0,1,2,2
Fusobacteria,1,0,0,1,1,0,0,4,0,1,1,4,1,0,0,1,1,1,0,1,0,3,5,2,0,1,1,2,1,0,1,3,1,2,0,0,2,2,7,1,0,3,0,1,6,0,0,1,0,2,0,0,2,1,0
Deferribacteres,1,4,0,3,2,1,0,0,2,2,2,0,1,0,2,0,1,1,0,0,0,0,1,3,2,0,0,1,2,1,3,2,2,1,0,0,4,0,2,1,1,1,4,1,1,0,1,1,1,1,0,0,2,0,1
Nitriliruptoria,3,2,0,0,2,0,3,0,1,0,4,0,3,0,2,1,1,2,0,0,1,1,0,1,3,0,1,0,0,0,0,1,0,1,2,1,3,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0
Chlorobia,0,1,1,1,1,0,1,1,2,0,2,1,1,0,0,0,1,1,0,0,1,0,3,0,1,1,0,1,2,2,3,1,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
