Kingdom,127,126,125,124,123,122,121,120,119,118,117,116,115,114,113,112,111,110,109,108,107,106,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22
Bacteria,179258,193648,282296,196373,203195,222444,253526,325935,228305,199672,262376,239961,276799,35297,282368,205371,204225,183841,44170,172732,269051,254408,349259,146829,199577,146780,165404,210249,140734,135074,152367,228555,195160,132371,358808,252628,634430,248366,324403,141654,158308,170669,188923,196896,177996,74041,115907,157668,140153,112618,133792,85384,210114,124431,217192
Viruses,3,7,2,12,4,3,2,6,5,5,11,4,12,1,7,3,1,6,0,4,4,3,10,0,3,1,4,9,3,2,4,9,4,6,14,8,14,10,10,3,2,6,12,2,4,1,4,4,1,1,4,3,7,8,9
Archaea,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
