Gemmatimonadetes,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,60,145,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,188
DNA,3,0,5,8,46,2,2,8,2,3,0,3,6,0,0,0,0,0,0,1,1,0,2,1,1,2,2,3,6,1,6,0,0,1,0,0,0,3,15,15,3,0,8,9,12,0,17,1,4,1,67,50,2,104,2,53,2,0,0,0,3,0,0,0,0,0,0,24,2
Synergistetes,0,1,8,16,36,6,3,8,3,10,0,4,0,0,0,1,2,0,1,10,2,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,2,17,2,1,1,9,7,0,2,89,3,7,2,1,2,2,2,2,2,0,0,1,1,0,0,0,1,0,0,90,62
Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,57,61,68,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,94
Spirochaetes,0,0,3,7,21,5,2,2,0,5,0,3,1,0,0,1,1,0,5,4,5,3,1,2,0,0,0,1,0,1,0,6,0,1,0,1,1,3,4,11,0,2,0,1,2,0,4,19,19,24,1,0,0,4,5,0,24,0,0,1,3,0,0,0,0,0,0,42,20
Chlorobi,0,0,0,1,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,0,0,0,2,27,0,2,59,74,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7
Deferribacteres,0,0,1,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4,6,2,0,1,2,4,0,2,3,6,4,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,9,5
Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22
Thermodesulfobacteria,0,0,1,1,7,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,1,2,0,0,2,2,1,2,1,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,3,2
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Chrysiogenetes,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
