Sporosarcina pasteurii,460,11,1193,2943,4788,800,9856,1296,219,378,5,92,94,11,47,97,188,3,2894,969,3244,2584,3090,1558,481,227,319,24,49,11,15,36,411,128,314,680,355,4013,1644,10348,1361,470,78,208,533,10,38,159,83,93,1839,1106,347,1248,1296,1792,3377,20,20,2068,2547,1,4,6,5,1,2,31,110
Erysipelothrix muris,359,1,747,621,755,86,311,79,141,438,3,474,427,2,9,21,51,2,349,1011,1769,598,3346,928,44,70,359,14,10,4,8,294,240,204,677,1339,1600,7521,457,3522,3792,5257,54,37,492,6,20,43,115,41,8263,2981,95,1347,5507,906,6481,1,15,2244,7918,0,0,0,0,0,2,9,53
Erysipelothrix inopinata,52,1,270,292,280,32,275,74,85,255,2,144,39,2,4,6,29,0,196,407,231,179,2801,423,90,181,756,4,3,3,1,66,143,80,173,508,746,3206,403,322,16,4,3,8,77,2,2,58,58,8,11079,3365,101,3107,9237,2249,10620,2,1,1083,7849,0,0,0,0,0,0,2,12
Xanthomonas oryzae,0,0,1,0,4,1,2,3,0,5,0,5,3,0,0,0,0,0,1,1,6,0,0,0,2,0,3,2,5,0,0,1,1,0,0,2,1,5,47,166,36,186,1630,29961,23965,0,5,22,86,48,9,5,4,8,4,2,1,0,0,2,5,0,0,0,0,0,0,24,4
Acinetobacter psychrotolerans,1,1,2,2,56,4,3,1,78,285,1,23134,331,0,38,3,1,0,1,4,382,3,25,88,286,1753,6103,6,5,6,1,316,53,18,127,2,7,181,3,429,2524,2482,318,45,1862,0,2,17,19,4,5783,3235,0,8,32,1678,3,0,0,957,499,0,0,0,0,0,0,6,44
Pseudomonas rhodesiae,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,2,0,1,0,0,12,784,21415,29366,0,1437,117,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0
Propionibacterium acnes,24,0,117,47,946,146,153,33,213,255,0,306,419,0,104,503,79,0,1,324,53,40,42,44,27,1,1,47,48,66,27,299,21,25,146,40,27,107,3,3268,2,6,696,339,20225,1,1455,6328,4835,3115,24,6,4,43,78,46,50,0,0,2,5,0,0,0,0,0,0,356,901
Vagococcus lutrae,64,5,2585,5701,17461,407,1223,25,4,6,0,1,0,0,0,0,149,0,3089,9354,4417,238,365,14,65,32,75,1,1,0,0,11,70,23,85,16,4,0,0,0,0,0,0,6,8,0,0,6,0,0,37,3,1,0,1,0,35,0,0,3,9,0,0,0,0,0,2,0,14
Pseudomonas xanthomarina,2,0,1,0,23,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,2,215,692,538,0,0,2,0,50,165,1,19,1,0,5,0,24,4,0,0,0,67,0,2,98,193,3,10428,4786,41,3147,382,18960,156,0,1,12,0,0,0,0,0,0,0,2,126
Stenotrophomonas chelatiphaga,0,0,0,1,5,0,1,0,2,1,0,3,7,0,0,1,0,0,3,12,23,2,2,1,3,1,2,3,9,4,1,3,1,0,1,2,4,21,96,141,49,77,922,17210,21100,0,6,11,6,15,7,11,9,3,2,2,5,0,1,8,10,0,0,0,0,0,0,6,4
Morganella morganii,2,0,0,1,20,2,14,27,32,194,0,26,3,0,1,0,0,0,2,0,0,0,0,0,601,74,249,0,0,0,0,12,390,62,0,1,9,25,6,683,10,0,0,0,1,1,0,0,0,0,3781,772,116,4811,23227,758,3338,0,1,23,185,0,0,0,0,0,0,0,17
Myroides odoratus,1,0,3,5,6,0,0,9,4,7,3,13,17,0,0,3,0,0,5,10,2,0,1,12,6,156,1751,3,0,1,0,33,0,3,10,4,1,6,6,127,2628,39,73,80,80,8,19,22,33,5,10016,10571,2,6,312,9559,6,1,8,2059,184,0,0,0,1,0,2,13,12
Bacteroides propionicifaciens,13,0,31,7,53,34,52,390,28,4985,0,2449,11,0,0,0,600,1,504,334,490,474,384,25,12,1,8,0,0,0,0,33,6,1,4,1,40,9,12,731,258,5,1,0,0,0,7,15,65,0,1109,311,14,542,12033,1788,7586,0,0,1390,442,0,0,0,0,0,0,0,14
Lachnospira pectinoschiza,44,2,1827,6009,5342,1503,2311,624,1049,3058,1,298,8,4,3,4,195,0,1911,713,150,74,97,21,52,23,72,6,4,2,1,3,77,73,47,42,21,63,37,615,18,7,8,35,93,0,1,67,17,4,1352,415,140,916,1627,82,6064,4,4,15,9,0,0,0,0,0,0,3,12
Clostridium putrefaciens,12,0,792,1005,1244,462,611,5708,603,14385,2,726,2,0,0,0,7,1,8,37,81,227,286,80,109,1,0,0,0,0,10,66,23,14,31,110,153,364,244,7369,12,3,14,42,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Myroides injenensis,1,0,1,0,4,1,1,12,5,3,0,56,249,0,1,1,3,0,0,2,3,0,5,40,2,22,727,2,0,0,0,1,1,0,2,0,0,5,1,314,8733,428,451,131,168,2,18,61,55,44,7056,5506,0,4,72,703,20,1,3,7070,1556,0,0,0,3,0,0,2,8
Peptoniphilus coxii,6,0,650,2908,9284,1970,958,642,1269,3602,2,2863,58,2,1,0,60,0,835,805,961,458,416,165,23,13,5,2,3,0,0,12,96,33,33,125,10,138,583,2532,115,1,2,10,26,1,14,88,180,81,34,10,3,31,9,10,13,0,1,4,2,1,0,0,0,0,1,57,40
Yersinia nurmii,0,0,3,1,5,41,11,1528,555,2939,0,484,605,0,488,2,0,0,1,2,0,0,11,0,2,5,5,20,7,34,2,3,0,0,0,1,0,3,1,1222,429,642,702,4907,1732,0,13627,942,7,0,52,37,0,7,206,2,36,0,0,1,43,0,0,0,0,1,0,433,11
